Município1,Código Município IBGE,População estimada (2020),UF1,05/03/20,06/03/20,12/03/20,13/03/20,17/03/20,18/03/20,19/03/20,20/03/20,21/03/20,22/03/20,23/03/20,24/03/20,25/03/20,26/03/20,27/03/20,28/03/20,29/03/20,30/03/20,31/03/20,01/04/20,02/04/20,03/04/20,04/04/20,05/04/20,06/04/20,07/04/20,08/04/20,09/04/20,10/04/20,11/04/20,12/04/20,13/04/20,14/04/20,15/04/20,16/04/20,17/04/20,18/04/20,19/04/20,20/04/20,21/04/20,22/04/20,23/04/20,24/04/20,25/04/20,26/04/20,27/04/20,28/04/20,29/04/20,30/04/20,01/05/20,02/05/20,03/05/20,04/05/20,05/05/20,06/05/20,07/05/20,08/05/20,09/05/20,10/05/20,11/05/20,12/05/20,13/05/20,14/05/20,15/05/20,16/05/20,17/05/20,18/05/20,19/05/20,20/05/20,21/05/20,22/05/20,23/05/20,24/05/20,25/05/20,26/05/20,27/05/20,28/05/20,29/05/20,30/05/20,31/05/20,01/06/20,02/06/20,03/06/20,04/06/20,05/06/20,06/06/20,07/06/20,08/06/20,09/06/20,10/06/20,11/06/20,12/06/20,13/06/20,14/06/20,15/06/20,16/06/20,17/06/20,18/06/20,19/06/20,20/06/20,21/06/20,22/06/20,23/06/20,24/06/20,25/06/20,26/06/20,27/06/20,28/06/20,29/06/20,30/06/20,01/07/20,02/07/20,03/07/20,04/07/20,05/07/20,06/07/20,07/07/20,08/07/20,09/07/20,10/07/20,11/07/20,12/07/20,13/07/20,14/07/20,15/07/20,16/07/20,17/07/20,18/07/20,19/07/20,20/07/20,21/07/20,22/07/20,23/07/20,24/07/20,25/07/20,26/07/20,27/07/20,28/07/20,29/07/20,30/07/20,31/07/20,01/08/20,02/08/20,03/08/20,04/08/20,05/08/20,06/08/20,07/08/20,08/08/20,09/08/20,10/08/20,11/08/20,12/08/20,13/08/20,14/08/20,15/08/20,16/08/20,17/08/20,18/08/20,19/08/20,20/08/20,21/08/20,22/08/20,23/08/20,24/08/20,25/08/20,26/08/20,27/08/20,28/08/20,29/08/20,30/08/20,31/08/20,01/09/20,02/09/20,03/09/20,04/09/20,05/09/20,06/09/20,07/09/20,08/09/20,09/09/20,10/09/20,11/09/20,12/09/20,13/09/20,14/09/20,15/09/20,16/09/20,17/09/20,18/09/20,19/09/20,20/09/20,21/09/20,22/09/20,23/09/20,24/09/20,25/09/20,26/09/20,27/09/20,28/09/20,29/09/20,30/09/20,01/10/20,02/10/20,03/10/20,04/10/20,05/10/20,06/10/20,07/10/20,08/10/20,09/10/20,10/10/20,11/10/20,12/10/20,13/10/20,14/10/20,15/10/20,16/10/20,17/10/20,18/10/20,19/10/20,20/10/20,21/10/20,22/10/20,23/10/20,24/10/20,25/10/20,26/10/20,27/10/20,28/10/20,29/10/20,30/10/20,31/10/20,01/11/20,02/11/20,03/11/20,04/11/20,05/11/20,06/11/20,07/11/20,08/11/20,09/11/20,10/11/20,11/11/20,12/11/20,13/11/20,14/11/20,15/11/20,16/11/20,17/11/20,18/11/20,19/11/20,20/11/20,21/11/20,22/11/20,23/11/20,24/11/20,25/11/20,26/11/20,27/11/20,28/11/20,29/11/20,30/11/20,01/12/20,02/12/20,03/12/20
CRUZEIRO,3513405,82571,SP,51%,49%,45%,49%,54%,55%,56%,56%,66%,63%,63%,63%,65%,63%,64%,65%,65%,68%,67%,68%,68%,67%,68%,67%,64%,63%,63%,61%,69%,65%,69%,60%,61%,60%,59%,60%,65%,69%,64%,67%,60%,60%,60%,63%,68%,60%,59%,58%,58%,66%,64%,67%,57%,58%,57%,57%,54%,58%,61%,57%,56%,56%,58%,57%,52%,55%,52%,51%,52%,53%,51%,52%,52%,52%,50%,51%,52%,50%,52%,55%,51%,50%,50%,50%,50%,50%,54%,50%,50%,48%,53%,47%,50%,53%,51%,51%,50%,49%,50%,51%,54%,49%,51%,50%,51%,51%,50%,54%,50%,48%,48%,51%,50%,50%,53%,50%,51%,48%,50%,50%,49%,52%,50%,50%,51%,51%,50%,51%,54%,49%,49%,49%,48%,49%,49%,55%,50%,47%,47%,49%,45%,47%,52%,47%,47%,46%,46%,44%,46%,46%,41%,47%,46%,42%,40%,47%,52%,44%,40%,41%,38%,40%,49%,45%,40%,42%,44%,46%,44%,44%,47%,39%,40%,47%,44%,44%,40%,48%,45%,40%,38%,40%,36%,38%,46%,39%,43%,40%,40%,41%,42%,45%,42%,43%,42%,42%,42%,43%,40%,35%,38%,44%,40%,42%,40%,40%,39%,38%,37%,43%,42%,39%,43%,46%,38%,42%,38%,45%,39%,45%,40%,39%,42%,42%,43%,44%,41%,38%,38%,41%,38%,40%,53%,43%,47%,38%,43%,39%,38%,41%,45%,40%,42%,40%,39%,42%,45%,41%,39%,41%,43%,38%,39%,39%,41%,41%,38%,41%,39%,43%,39%,39%,43%,39%,44%,39%
CUBATÃO,3513504,131626,SP,37%,34%,29%,33%,37%,39%,40%,40%,52%,51%,44%,45%,46%,44%,46%,48%,55%,51%,50%,49%,49%,47%,53%,57%,47%,47%,45%,48%,59%,57%,64%,51%,50%,50%,49%,49%,54%,64%,52%,59%,50%,49%,49%,53%,64%,50%,50%,49%,48%,57%,55%,65%,50%,49%,48%,49%,48%,52%,61%,50%,48%,47%,48%,48%,48%,53%,46%,45%,46%,45%,44%,44%,54%,49%,42%,46%,45%,44%,49%,52%,45%,46%,44%,45%,44%,50%,53%,45%,45%,45%,49%,44%,47%,52%,45%,44%,43%,43%,44%,46%,51%,44%,45%,45%,44%,46%,45%,52%,44%,43%,44%,44%,44%,46%,51%,44%,43%,44%,44%,44%,46%,50%,44%,44%,45%,43%,43%,45%,50%,42%,43%,42%,42%,42%,45%,52%,43%,42%,43%,43%,42%,45%,52%,43%,42%,42%,41%,41%,43%,49%,42%,42%,42%,43%,43%,46%,54%,45%,45%,43%,45%,44%,47%,53%,43%,44%,42%,43%,42%,41%,50%,41%,44%,43%,42%,42%,42%,48%,48%,41%,43%,42%,40%,43%,49%,41%,43%,41%,42%,41%,44%,52%,44%,46%,43%,43%,42%,43%,49%,42%,43%,42%,43%,41%,43%,52%,43%,43%,42%,43%,43%,43%,48%,49%,39%,42%,42%,43%,44%,50%,43%,41%,42%,42%,43%,45%,50%,42%,43%,43%,43%,44%,47%,52%,50%,42%,43%,42%,42%,46%,48%,41%,42%,43%,42%,43%,46%,49%,43%,44%,41%,44%,45%,45%,49%,42%,44%,41%,43%,43%,45%,48%,42%,40%,42%,42%
DIADEMA,3513801,426757,SP,34%,33%,31%,34%,39%,41%,43%,45%,57%,57%,54%,55%,56%,56%,55%,59%,62%,58%,58%,57%,57%,57%,61%,62%,54%,53%,54%,52%,63%,60%,65%,54%,54%,54%,53%,52%,58%,64%,55%,61%,51%,51%,51%,57%,63%,51%,52%,52%,50%,60%,57%,64%,51%,50%,50%,51%,49%,54%,59%,51%,51%,51%,52%,51%,46%,51%,46%,44%,44%,45%,47%,48%,50%,48%,43%,44%,45%,43%,50%,50%,44%,45%,44%,43%,43%,43%,48%,43%,43%,43%,44%,42%,44%,48%,43%,43%,43%,42%,42%,43%,47%,42%,43%,42%,42%,43%,44%,48%,42%,42%,40%,41%,41%,43%,47%,41%,41%,41%,42%,40%,42%,46%,41%,41%,42%,41%,40%,42%,46%,39%,40%,39%,39%,38%,40%,46%,39%,39%,39%,40%,39%,40%,45%,39%,39%,39%,38%,37%,36%,43%,36%,37%,36%,37%,36%,39%,44%,37%,39%,38%,38%,36%,39%,43%,36%,38%,36%,37%,35%,34%,39%,37%,36%,36%,35%,35%,37%,40%,41%,35%,36%,34%,35%,36%,40%,35%,34%,34%,35%,35%,36%,40%,35%,36%,35%,36%,34%,35%,38%,35%,36%,34%,35%,35%,35%,42%,36%,35%,34%,35%,35%,35%,39%,40%,34%,34%,34%,36%,36%,40%,35%,35%,35%,36%,35%,37%,40%,33%,36%,35%,35%,34%,47%,41%,41%,35%,34%,33%,34%,36%,42%,35%,35%,37%,39%,37%,40%,42%,39%,39%,39%,38%,40%,40%,45%,39%,38%,39%,39%,38%,40%,42%,37%,38%,37%,37%
EMBU DAS ARTES,3515004,276535,SP,35%,34%,32%,35%,41%,42%,44%,45%,57%,57%,53%,54%,52%,54%,54%,55%,61%,56%,56%,56%,56%,55%,59%,61%,53%,51%,51%,48%,61%,57%,63%,51%,48%,51%,50%,50%,55%,63%,52%,60%,49%,48%,49%,54%,62%,50%,50%,49%,48%,57%,55%,63%,49%,49%,48%,49%,48%,52%,58%,50%,49%,49%,50%,50%,50%,54%,49%,48%,49%,50%,47%,51%,55%,51%,48%,48%,47%,46%,50%,54%,47%,48%,47%,47%,46%,51%,52%,46%,46%,46%,49%,46%,48%,53%,47%,46%,46%,46%,45%,47%,52%,46%,46%,46%,45%,46%,49%,52%,46%,46%,46%,46%,45%,47%,51%,45%,45%,45%,46%,44%,46%,51%,45%,45%,45%,45%,44%,46%,50%,44%,44%,43%,44%,42%,45%,51%,45%,44%,44%,44%,43%,45%,51%,44%,44%,43%,43%,42%,44%,48%,46%,47%,46%,46%,45%,49%,56%,48%,48%,47%,48%,46%,50%,55%,47%,46%,45%,45%,44%,46%,52%,45%,45%,46%,44%,44%,45%,49%,51%,45%,45%,44%,44%,46%,51%,44%,46%,45%,45%,44%,46%,52%,46%,47%,45%,45%,44%,45%,50%,45%,44%,43%,44%,43%,44%,50%,43%,42%,43%,43%,44%,43%,48%,50%,42%,43%,42%,43%,46%,50%,44%,44%,43%,42%,42%,45%,50%,43%,43%,41%,42%,42%,47%,48%,49%,41%,42%,40%,40%,43%,47%,41%,40%,41%,41%,40%,42%,46%,41%,42%,42%,41%,42%,44%,48%,42%,42%,42%,42%,41%,43%,46%,40%,39%,41%,41%
ESTADO DE SÃO PAULO,35,46289333,SP,30%,29%,28%,30%,38%,40%,42%,44%,56%,56%,52%,54%,54%,54%,53%,56%,59%,55%,55%,55%,55%,54%,57%,59%,52%,51%,50%,47%,57%,55%,59%,50%,50%,50%,49%,49%,54%,59%,51%,57%,48%,48%,48%,52%,58%,48%,48%,47%,46%,56%,53%,59%,47%,47%,47%,47%,46%,50%,53%,48%,47%,47%,48%,47%,50%,54%,49%,48%,49%,49%,48%,51%,55%,51%,47%,48%,48%,47%,51%,53%,47%,48%,47%,47%,46%,49%,52%,47%,47%,46%,48%,46%,48%,52%,47%,46%,46%,45%,45%,47%,52%,46%,46%,46%,45%,45%,48%,52%,46%,46%,45%,45%,45%,47%,51%,45%,45%,45%,45%,44%,46%,51%,45%,45%,45%,45%,44%,46%,50%,43%,43%,43%,43%,42%,45%,51%,44%,43%,43%,43%,43%,45%,51%,43%,43%,42%,42%,41%,43%,48%,43%,43%,42%,42%,42%,45%,52%,43%,44%,43%,43%,42%,46%,50%,43%,43%,42%,42%,41%,43%,48%,42%,42%,42%,41%,40%,42%,46%,48%,41%,42%,41%,40%,42%,48%,41%,41%,41%,41%,41%,42%,48%,42%,42%,42%,41%,41%,42%,47%,41%,41%,40%,41%,40%,41%,47%,41%,41%,40%,41%,41%,41%,47%,47%,40%,41%,41%,42%,42%,47%,41%,41%,41%,40%,40%,43%,47%,41%,41%,40%,40%,40%,45%,48%,48%,40%,40%,40%,39%,42%,47%,40%,40%,40%,40%,40%,42%,46%,40%,41%,40%,40%,41%,42%,46%,40%,40%,40%,40%,40%,42%,45%,40%,39%,40%,40%
FERRAZ DE VASCONCELOS,3515707,196500,SP,35%,33%,32%,35%,35%,41%,43%,45%,55%,57%,50%,54%,54%,54%,49%,49%,54%,55%,55%,55%,46%,48%,51%,59%,51%,51%,50%,49%,59%,56%,61%,52%,53%,51%,52%,51%,55%,62%,50%,59%,50%,50%,50%,54%,60%,50%,50%,50%,49%,57%,54%,61%,49%,48%,48%,49%,47%,51%,56%,49%,49%,49%,50%,50%,45%,49%,45%,45%,45%,45%,45%,47%,49%,47%,43%,45%,45%,43%,48%,47%,43%,44%,44%,44%,43%,45%,47%,43%,44%,44%,45%,42%,43%,47%,43%,43%,43%,42%,42%,44%,46%,42%,43%,43%,42%,43%,43%,47%,42%,41%,42%,42%,41%,43%,45%,41%,40%,40%,42%,41%,43%,46%,42%,42%,42%,41%,39%,42%,45%,39%,40%,37%,39%,39%,39%,45%,40%,41%,40%,41%,40%,40%,45%,39%,39%,38%,39%,38%,39%,43%,45%,45%,44%,45%,43%,46%,53%,45%,45%,45%,44%,43%,47%,51%,44%,45%,43%,44%,42%,43%,48%,44%,45%,44%,44%,42%,43%,47%,50%,43%,44%,44%,41%,44%,48%,43%,44%,43%,44%,43%,44%,50%,44%,45%,43%,43%,42%,43%,47%,43%,44%,42%,43%,43%,44%,50%,43%,43%,43%,44%,44%,43%,45%,50%,43%,44%,42%,42%,43%,47%,42%,42%,41%,42%,41%,43%,47%,42%,42%,41%,41%,40%,44%,48%,47%,41%,41%,40%,40%,41%,45%,38%,40%,39%,42%,41%,41%,44%,39%,40%,41%,40%,43%,43%,45%,40%,40%,40%,41%,40%,43%,45%,39%,40%,42%,41%
FRANCA,3516200,355901,SP,34%,31%,28%,32%,36%,38%,39%,44%,58%,58%,53%,53%,54%,52%,50%,54%,58%,52%,50%,50%,48%,50%,55%,58%,47%,46%,45%,43%,60%,52%,59%,46%,45%,44%,45%,44%,51%,61%,46%,53%,41%,42%,41%,50%,60%,43%,44%,44%,42%,55%,54%,61%,45%,44%,40%,43%,42%,48%,55%,44%,44%,43%,43%,43%,45%,47%,46%,46%,46%,46%,45%,45%,47%,45%,42%,45%,46%,45%,46%,46%,45%,46%,46%,46%,45%,45%,46%,46%,46%,45%,46%,44%,45%,46%,45%,46%,46%,44%,45%,44%,46%,47%,47%,46%,45%,45%,44%,46%,45%,46%,45%,45%,44%,45%,46%,45%,44%,45%,45%,45%,45%,45%,45%,45%,45%,46%,44%,45%,46%,40%,41%,41%,41%,40%,42%,48%,42%,41%,41%,41%,39%,42%,49%,41%,42%,41%,41%,39%,41%,45%,41%,42%,41%,36%,36%,37%,43%,36%,36%,35%,36%,35%,36%,43%,34%,36%,35%,35%,33%,33%,43%,35%,35%,35%,35%,34%,35%,40%,43%,36%,35%,34%,34%,35%,43%,35%,33%,32%,35%,35%,36%,41%,35%,34%,35%,35%,34%,34%,39%,35%,35%,33%,34%,34%,34%,39%,33%,35%,34%,35%,32%,35%,38%,41%,35%,35%,32%,42%,34%,40%,34%,32%,33%,33%,33%,35%,39%,32%,34%,33%,35%,31%,44%,37%,36%,34%,34%,33%,33%,36%,42%,36%,34%,33%,33%,32%,36%,37%,35%,33%,33%,33%,33%,35%,37%,34%,33%,32%,33%,33%,34%,36%,32%,33%,35%,32%
FRANCISCO MORATO,3516309,177633,SP,34%,33%,32%,34%,39%,39%,41%,42%,54%,55%,51%,50%,52%,49%,50%,54%,57%,54%,54%,51%,52%,53%,56%,58%,50%,50%,48%,48%,58%,54%,59%,51%,50%,51%,51%,49%,54%,60%,51%,57%,49%,49%,49%,53%,59%,50%,49%,49%,47%,57%,51%,57%,48%,48%,48%,48%,46%,50%,54%,48%,49%,49%,50%,48%,48%,51%,46%,47%,47%,48%,46%,48%,52%,47%,44%,46%,47%,45%,48%,50%,46%,46%,45%,46%,44%,48%,49%,44%,44%,45%,47%,44%,46%,49%,45%,45%,44%,43%,44%,45%,48%,44%,45%,44%,42%,44%,46%,49%,44%,44%,44%,44%,43%,44%,48%,43%,43%,43%,44%,43%,45%,47%,43%,43%,44%,43%,42%,43%,47%,39%,39%,38%,39%,38%,41%,45%,39%,38%,39%,39%,38%,40%,44%,38%,39%,38%,38%,37%,39%,42%,42%,44%,43%,44%,43%,46%,51%,44%,46%,42%,44%,43%,46%,49%,43%,45%,42%,43%,43%,44%,49%,43%,44%,43%,43%,42%,44%,46%,47%,42%,43%,43%,43%,44%,48%,39%,43%,44%,43%,43%,42%,48%,42%,44%,44%,44%,42%,44%,48%,43%,43%,41%,39%,40%,42%,46%,41%,41%,41%,41%,41%,42%,47%,47%,42%,41%,42%,43%,43%,48%,42%,42%,42%,41%,42%,44%,48%,42%,41%,41%,43%,42%,42%,49%,48%,41%,41%,41%,41%,44%,46%,41%,42%,42%,41%,41%,44%,45%,41%,42%,41%,41%,42%,44%,46%,40%,42%,38%,41%,42%,44%,45%,41%,40%,40%,39%
FRANCO DA ROCHA,3516408,156492,SP,37%,34%,32%,34%,40%,41%,43%,44%,55%,55%,53%,53%,53%,53%,53%,56%,58%,56%,57%,55%,56%,55%,58%,59%,52%,52%,51%,51%,62%,58%,63%,54%,54%,54%,53%,52%,56%,62%,54%,60%,51%,52%,51%,56%,60%,52%,52%,52%,51%,58%,55%,62%,51%,51%,50%,50%,49%,53%,56%,51%,50%,51%,50%,51%,45%,49%,43%,43%,44%,44%,43%,46%,49%,45%,42%,43%,43%,42%,47%,47%,43%,43%,42%,42%,41%,44%,46%,41%,41%,41%,43%,41%,43%,47%,42%,42%,41%,41%,41%,43%,46%,41%,42%,41%,40%,41%,43%,47%,42%,41%,41%,41%,40%,42%,45%,41%,40%,40%,41%,39%,42%,45%,40%,40%,41%,40%,40%,41%,45%,37%,37%,36%,37%,37%,39%,44%,39%,38%,38%,38%,37%,39%,43%,37%,38%,36%,37%,35%,37%,40%,39%,42%,41%,42%,41%,43%,49%,42%,43%,41%,42%,41%,45%,49%,42%,42%,42%,42%,41%,41%,47%,41%,42%,41%,41%,40%,41%,45%,46%,41%,41%,41%,40%,41%,46%,40%,41%,40%,38%,40%,41%,47%,41%,43%,41%,41%,40%,42%,45%,41%,41%,39%,39%,40%,40%,46%,40%,40%,40%,39%,41%,40%,45%,46%,39%,40%,38%,40%,42%,46%,40%,41%,40%,40%,40%,42%,46%,40%,40%,40%,39%,40%,42%,46%,47%,40%,40%,39%,39%,41%,44%,39%,40%,40%,40%,39%,41%,44%,39%,41%,37%,40%,40%,42%,45%,39%,40%,37%,40%,40%,41%,44%,40%,39%,39%,39%
GUARATINGUETÁ,3518404,122505,SP,41%,38%,37%,39%,45%,45%,48%,49%,60%,58%,55%,57%,58%,56%,56%,57%,60%,60%,60%,58%,58%,58%,61%,61%,55%,55%,54%,52%,64%,59%,64%,60%,53%,53%,53%,54%,58%,64%,56%,60%,53%,54%,52%,57%,63%,52%,52%,52%,51%,59%,57%,62%,51%,51%,50%,50%,49%,53%,57%,51%,51%,51%,52%,52%,47%,50%,45%,45%,45%,46%,45%,47%,50%,47%,43%,45%,45%,44%,50%,51%,45%,44%,44%,44%,43%,45%,48%,44%,44%,43%,47%,43%,45%,49%,44%,44%,44%,43%,43%,45%,48%,44%,44%,44%,43%,43%,45%,48%,44%,43%,43%,44%,43%,44%,48%,42%,42%,43%,43%,42%,44%,48%,44%,43%,43%,43%,43%,44%,48%,41%,41%,40%,40%,40%,42%,48%,42%,41%,41%,41%,40%,42%,48%,41%,41%,41%,40%,39%,41%,45%,41%,40%,40%,40%,40%,42%,48%,41%,40%,38%,37%,39%,43%,46%,38%,37%,39%,39%,38%,39%,44%,39%,39%,39%,37%,38%,39%,43%,44%,39%,40%,38%,38%,40%,44%,38%,39%,38%,38%,38%,39%,45%,39%,40%,38%,38%,38%,38%,42%,38%,38%,38%,38%,38%,36%,42%,37%,37%,37%,37%,38%,37%,42%,42%,36%,37%,36%,38%,39%,42%,37%,37%,37%,36%,36%,39%,41%,37%,37%,37%,34%,35%,44%,42%,43%,37%,37%,35%,34%,37%,39%,36%,37%,36%,35%,34%,37%,39%,36%,36%,36%,35%,35%,36%,39%,36%,36%,36%,36%,35%,36%,39%,36%,35%,35%,35%
GUARUJÁ,3518701,322750,SP,38%,36%,35%,37%,43%,44%,45%,49%,57%,60%,56%,57%,57%,57%,56%,58%,59%,60%,59%,58%,59%,57%,60%,59%,54%,54%,54%,53%,61%,59%,62%,54%,54%,54%,54%,54%,57%,63%,55%,60%,52%,53%,52%,57%,61%,52%,53%,52%,51%,59%,57%,61%,52%,52%,52%,53%,51%,55%,58%,52%,52%,52%,54%,53%,51%,53%,48%,48%,48%,49%,47%,51%,54%,50%,47%,48%,47%,47%,51%,53%,47%,48%,47%,48%,47%,51%,53%,47%,47%,46%,50%,46%,49%,52%,46%,46%,46%,45%,46%,48%,51%,46%,46%,46%,46%,47%,50%,52%,46%,45%,46%,45%,45%,48%,50%,45%,45%,45%,46%,45%,48%,50%,45%,46%,45%,45%,45%,47%,50%,43%,43%,43%,43%,43%,46%,50%,43%,43%,44%,45%,44%,45%,49%,42%,43%,43%,43%,42%,44%,46%,43%,43%,43%,42%,43%,46%,49%,43%,43%,43%,43%,44%,47%,49%,42%,43%,42%,43%,42%,44%,45%,40%,42%,43%,40%,42%,44%,47%,43%,41%,42%,41%,42%,44%,45%,39%,44%,41%,42%,41%,43%,47%,43%,44%,42%,41%,41%,43%,44%,42%,42%,42%,41%,41%,43%,47%,40%,40%,40%,41%,41%,44%,48%,43%,38%,42%,42%,43%,44%,45%,41%,41%,43%,42%,42%,45%,45%,40%,43%,41%,42%,44%,46%,48%,44%,40%,41%,42%,41%,45%,45%,40%,42%,41%,41%,41%,45%,45%,41%,43%,42%,42%,45%,45%,45%,39%,42%,42%,42%,43%,45%,42%,41%,39%,42%,42%
GUARULHOS,3518800,1392121,SP,33%,31%,29%,32%,38%,40%,42%,44%,56%,56%,52%,53%,54%,54%,53%,57%,61%,55%,55%,55%,55%,54%,59%,61%,52%,51%,51%,50%,61%,58%,63%,52%,52%,51%,52%,51%,56%,63%,54%,61%,50%,50%,49%,55%,62%,50%,50%,49%,49%,59%,56%,63%,49%,47%,48%,49%,47%,53%,57%,50%,49%,49%,49%,49%,48%,52%,47%,46%,47%,47%,46%,49%,53%,50%,45%,46%,46%,45%,51%,52%,46%,46%,45%,45%,45%,47%,51%,45%,45%,45%,47%,44%,46%,50%,45%,45%,45%,44%,43%,45%,49%,44%,44%,43%,42%,43%,46%,49%,44%,44%,43%,43%,42%,44%,48%,42%,43%,42%,43%,42%,44%,48%,42%,43%,43%,43%,41%,44%,48%,41%,41%,41%,40%,40%,42%,49%,41%,41%,41%,41%,40%,42%,48%,40%,40%,40%,40%,38%,40%,45%,37%,38%,37%,37%,37%,40%,46%,39%,39%,38%,38%,37%,40%,45%,38%,38%,37%,37%,37%,37%,43%,37%,38%,38%,37%,36%,37%,42%,44%,37%,37%,36%,36%,38%,43%,37%,37%,37%,37%,37%,38%,43%,37%,37%,37%,37%,36%,38%,41%,37%,36%,36%,36%,36%,37%,43%,36%,36%,36%,37%,37%,36%,42%,42%,36%,36%,36%,38%,38%,43%,36%,36%,37%,36%,36%,39%,43%,36%,36%,36%,37%,36%,47%,42%,43%,36%,36%,35%,35%,39%,45%,36%,36%,36%,36%,35%,38%,41%,36%,36%,36%,36%,38%,38%,41%,36%,36%,36%,36%,36%,38%,39%,35%,34%,35%,35%
HORTOLÂNDIA,3519071,234259,SP,36%,36%,32%,36%,40%,42%,43%,45%,57%,58%,52%,54%,55%,55%,54%,58%,57%,57%,57%,56%,56%,48%,59%,61%,51%,51%,51%,48%,61%,57%,61%,52%,51%,51%,50%,50%,56%,62%,52%,59%,49%,50%,48%,55%,61%,49%,48%,50%,48%,58%,55%,60%,48%,48%,48%,48%,46%,52%,55%,44%,44%,48%,48%,47%,46%,49%,45%,45%,44%,45%,44%,46%,49%,46%,41%,45%,40%,44%,49%,49%,44%,43%,43%,43%,43%,44%,45%,43%,42%,42%,45%,42%,44%,46%,42%,43%,43%,41%,41%,44%,46%,43%,43%,44%,42%,43%,45%,46%,43%,43%,42%,42%,42%,43%,46%,41%,43%,42%,42%,42%,44%,47%,43%,43%,42%,42%,42%,43%,45%,39%,39%,39%,38%,39%,41%,44%,40%,39%,38%,36%,34%,39%,44%,37%,39%,39%,37%,35%,39%,42%,38%,37%,38%,38%,36%,39%,44%,37%,39%,38%,38%,36%,41%,44%,38%,38%,38%,37%,36%,37%,38%,38%,38%,36%,34%,35%,36%,42%,41%,36%,36%,39%,38%,36%,41%,37%,34%,36%,35%,35%,39%,42%,37%,38%,38%,36%,37%,36%,40%,37%,37%,36%,35%,34%,36%,39%,36%,34%,35%,35%,36%,37%,40%,39%,35%,35%,37%,38%,38%,41%,37%,36%,37%,37%,36%,37%,40%,36%,37%,34%,37%,37%,47%,39%,39%,37%,37%,37%,36%,39%,38%,31%,36%,35%,36%,36%,40%,37%,36%,36%,35%,35%,36%,39%,40%,34%,36%,34%,35%,35%,39%,38%,36%,36%,38%,37%
IBIÚNA,3519709,79479,SP,48%,46%,44%,46%,51%,54%,55%,55%,62%,66%,64%,67%,66%,65%,63%,64%,66%,63%,64%,64%,64%,63%,66%,66%,59%,59%,59%,56%,69%,63%,67%,57%,59%,59%,57%,57%,62%,74%,57%,66%,55%,57%,57%,60%,67%,55%,57%,56%,54%,66%,60%,67%,54%,53%,55%,55%,54%,58%,64%,55%,55%,56%,57%,57%,57%,62%,51%,53%,54%,54%,54%,58%,63%,56%,52%,53%,54%,52%,57%,61%,52%,55%,52%,52%,50%,53%,51%,51%,52%,51%,58%,46%,54%,58%,51%,51%,51%,50%,50%,53%,56%,49%,51%,49%,50%,49%,54%,57%,50%,49%,49%,49%,46%,50%,54%,47%,48%,47%,48%,48%,50%,54%,48%,48%,48%,48%,47%,51%,53%,46%,46%,45%,46%,46%,50%,54%,46%,46%,47%,47%,47%,49%,56%,46%,45%,45%,45%,44%,47%,50%,45%,45%,45%,44%,47%,49%,54%,46%,46%,47%,47%,47%,49%,53%,45%,47%,46%,46%,45%,47%,52%,44%,46%,46%,45%,44%,48%,53%,49%,44%,45%,45%,44%,46%,51%,44%,47%,38%,39%,44%,47%,50%,44%,46%,45%,44%,44%,46%,50%,44%,44%,44%,44%,44%,45%,49%,43%,43%,41%,44%,43%,46%,54%,50%,41%,45%,45%,46%,46%,51%,44%,43%,43%,44%,45%,46%,52%,44%,44%,44%,44%,45%,47%,55%,49%,43%,44%,44%,43%,46%,49%,42%,43%,43%,43%,43%,44%,47%,43%,43%,43%,44%,44%,44%,46%,42%,43%,43%,44%,43%,44%,47%,43%,41%,43%,44%
INDAIATUBA,3520509,256223,SP,35%,35%,32%,36%,41%,43%,46%,47%,59%,59%,55%,56%,57%,56%,55%,59%,61%,58%,57%,57%,56%,55%,61%,61%,53%,53%,52%,49%,61%,57%,61%,52%,50%,52%,51%,49%,54%,60%,52%,58%,49%,49%,49%,52%,57%,50%,49%,49%,48%,57%,54%,59%,49%,48%,49%,48%,47%,52%,55%,49%,47%,49%,49%,47%,51%,54%,48%,48%,48%,48%,47%,50%,55%,53%,46%,48%,48%,47%,50%,54%,48%,48%,47%,47%,46%,49%,52%,47%,46%,46%,49%,46%,48%,52%,46%,47%,47%,45%,46%,45%,51%,46%,46%,46%,46%,46%,48%,51%,46%,46%,45%,45%,44%,48%,51%,43%,46%,46%,46%,46%,48%,51%,46%,46%,46%,46%,45%,47%,51%,44%,43%,43%,43%,42%,46%,52%,44%,43%,43%,42%,42%,46%,52%,43%,43%,42%,42%,41%,44%,49%,43%,43%,42%,41%,42%,44%,52%,43%,43%,41%,43%,42%,45%,50%,42%,42%,41%,41%,40%,41%,48%,41%,41%,40%,40%,39%,41%,45%,47%,40%,41%,41%,38%,42%,46%,40%,40%,40%,40%,39%,41%,47%,41%,41%,39%,39%,38%,40%,46%,41%,40%,39%,39%,38%,39%,45%,38%,39%,38%,40%,39%,39%,46%,46%,38%,40%,38%,42%,41%,45%,40%,38%,39%,39%,39%,41%,45%,39%,39%,39%,39%,38%,45%,45%,47%,39%,38%,38%,38%,40%,45%,39%,38%,39%,38%,38%,40%,43%,39%,38%,38%,38%,38%,40%,44%,39%,38%,37%,38%,38%,40%,44%,38%,39%,39%,39%
